날짜,요일,시간대,결제자수,결제수,모바일비율(결제건수),결제금액,모바일비율(결제금액),결제당 결제금액,결제상품수량,결제당 상품수량,배송비,쿠폰합계,상품쿠폰,주문쿠폰,환불건수,환불금액,환불비율(결제금액),환불수량,환불비율(결제상품수량)
2024-06-21,금,11시,1,1,1.0,269500,1.0,269500.0,55,55.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-21,금,14시,1,1,1.0,101900,1.0,101900.0,21,21.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-21,금,10시,1,1,0.0,48000,0.0,48000.0,10,10.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-21,금,20시,0,0,,0,,,0,,0,0,0,0,1,101900,,21,
2024-06-20,목,19시,1,1,1.0,1714000,1.0,1714000.0,350,350.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-20,목,09시,1,1,1.0,308700,1.0,308700.0,63,63.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-20,목,10시,1,1,1.0,5400,1.0,5400.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-19,수,13시,1,1,1.0,245000,1.0,245000.0,50,50.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-19,수,23시,1,1,1.0,48000,1.0,48000.0,10,10.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-18,화,17시,1,1,1.0,170500,1.0,170500.0,35,35.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-17,월,15시,1,1,1.0,312600,1.0,312600.0,64,64.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-17,월,10시,1,1,0.0,294000,0.0,294000.0,60,60.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-17,월,11시,1,1,1.0,49000,1.0,49000.0,10,10.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-14,금,22시,1,1,1.0,19600,1.0,19600.0,4,4.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-14,금,23시,0,0,,0,,,0,,0,0,0,0,1,19600,,4,
2024-06-13,목,22시,1,1,1.0,48000,1.0,48000.0,10,10.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-12,수,11시,1,1,1.0,1763000,1.0,1763000.0,360,360.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-12,수,16시,1,1,1.0,979000,1.0,979000.0,200,200.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-12,수,15시,1,1,1.0,244000,1.0,244000.0,50,50.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-12,수,10시,1,2,1.0,195000,1.0,97500.0,40,20.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-12,수,13시,1,1,1.0,49000,1.0,49000.0,10,10.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-12,수,09시,1,1,0.0,10300,0.0,10300.0,2,2.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-11,화,22시,1,1,1.0,62700,1.0,62700.0,13,13.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-11,화,12시,1,2,1.0,46000,1.0,23000.0,2,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-10,월,12시,1,2,1.0,637000,1.0,318500.0,130,65.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-10,월,13시,1,1,1.0,392000,1.0,392000.0,80,80.0,0,0,0,0,1,392000,1.0,80,1.0
2024-06-10,월,11시,1,1,1.0,97000,1.0,97000.0,20,20.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-10,월,14시,1,2,0.0,71000,0.0,35500.0,4,2.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-10,월,19시,1,1,1.0,23000,1.0,23000.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-10,월,16시,1,1,1.0,4900,1.0,4900.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-09,일,09시,1,1,1.0,49000,1.0,49000.0,10,10.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-09,일,18시,1,1,1.0,21000,1.0,21000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-07,금,09시,1,2,1.0,308700,1.0,154350.0,63,31.5,3000,0,0,0,0,0,0.0,0,0.0
2024-06-07,금,12시,1,1,1.0,107800,1.0,107800.0,22,22.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-07,금,08시,1,1,1.0,73500,1.0,73500.0,15,15.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-06,목,16시,1,1,1.0,296500,1.0,296500.0,65,65.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-06,목,21시,1,1,0.0,147000,0.0,147000.0,30,30.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-06,목,11시,1,1,1.0,121500,1.0,121500.0,25,25.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-05,수,16시,1,2,1.0,220500,1.0,110250.0,45,22.5,3000,0,0,0,0,0,0.0,0,0.0
2024-06-05,수,11시,1,1,0.0,108000,0.0,108000.0,20,20.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-05,수,15시,1,1,1.0,88200,1.0,88200.0,18,18.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-04,화,09시,1,1,1.0,40000,1.0,40000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-03,월,00시,1,1,1.0,670300,1.0,670300.0,137,137.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-03,월,10시,2,2,1.0,513500,1.0,256750.0,105,52.5,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-02,일,13시,1,1,1.0,979000,1.0,979000.0,200,200.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-02,일,15시,1,1,1.0,440000,1.0,440000.0,90,90.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-02,일,17시,1,1,1.0,72500,1.0,72500.0,15,15.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-01,토,16시,1,1,0.0,209000,0.0,209000.0,21,21.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-01,토,08시,1,1,1.0,59000,1.0,59000.0,3,3.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-01,토,17시,0,0,,0,,,0,,0,0,0,0,1,209000,,21,
2024-05-31,금,11시,1,1,1.0,525000,1.0,525000.0,110,110.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-28,화,13시,1,1,1.0,14700,1.0,14700.0,3,3.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-27,월,20시,1,1,1.0,139000,1.0,139000.0,50,50.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-26,일,20시,1,1,1.0,479000,1.0,479000.0,100,100.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-26,일,11시,1,1,1.0,416500,1.0,416500.0,85,85.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-26,일,15시,1,1,1.0,67600,1.0,67600.0,14,14.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-24,금,13시,1,1,1.0,480000,1.0,480000.0,100,100.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-24,금,15시,1,1,0.0,146000,0.0,146000.0,30,30.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-24,금,10시,2,2,0.5,138200,0.6309696092619392,69100.0,19,9.5,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-24,금,16시,1,1,1.0,114100,1.0,114100.0,21,21.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-23,목,23시,1,1,1.0,55000,1.0,55000.0,5,5.0,3000,0,0,0,1,28400,0.5163636363636364,6,1.2
2024-05-23,목,19시,1,1,1.0,40000,1.0,40000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-23,목,20시,1,1,1.0,4900,1.0,4900.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-21,화,12시,1,1,1.0,149000,1.0,149000.0,15,15.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-21,화,10시,1,1,1.0,22000,1.0,22000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-20,월,15시,1,1,1.0,440000,1.0,440000.0,90,90.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-20,월,23시,1,1,1.0,28400,1.0,28400.0,6,6.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-19,일,20시,1,1,1.0,479000,1.0,479000.0,100,100.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-19,일,21시,1,1,1.0,122000,1.0,122000.0,40,40.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-19,일,11시,1,1,1.0,48000,1.0,48000.0,10,10.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-18,토,14시,1,1,1.0,126400,1.0,126400.0,26,26.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-18,토,20시,1,1,1.0,101900,1.0,101900.0,21,21.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-17,금,16시,1,1,1.0,2591000,1.0,2591000.0,270,270.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-17,금,15시,1,1,0.0,40000,0.0,40000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-17,금,13시,1,1,1.0,24500,1.0,24500.0,5,5.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-16,목,16시,1,4,0.0,188000,0.0,47000.0,4,1.0,12000,0,0,0,0,0,0.0,0,0.0
2024-05-15,수,08시,1,1,1.0,153000,1.0,153000.0,14,14.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-15,수,23시,1,1,1.0,36000,1.0,36000.0,1,1.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-14,화,16시,1,4,0.0,244600,0.0,61150.0,36,9.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-13,월,13시,1,1,0.0,244000,0.0,244000.0,50,50.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-13,월,12시,1,1,1.0,121500,1.0,121500.0,25,25.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-13,월,22시,1,1,1.0,82300,1.0,82300.0,17,17.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-13,월,09시,1,1,1.0,57800,1.0,57800.0,12,12.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-13,월,11시,1,1,0.0,47000,0.0,47000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-11,토,23시,1,2,1.0,489100,1.0,244550.0,113,56.5,0,0,0,0,0,0,0.0,0,0.0
2024-05-11,토,15시,1,1,1.0,42200,1.0,42200.0,8,8.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-11,토,06시,1,2,1.0,9800,1.0,4900.0,2,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-10,금,10시,1,1,0.0,49000,0.0,49000.0,10,10.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-10,금,15시,1,1,1.0,20800,1.0,20800.0,3,3.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-10,금,00시,1,1,1.0,20000,1.0,20000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-09,목,15시,1,1,1.0,322400,1.0,322400.0,66,66.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-09,목,07시,1,1,1.0,195000,1.0,195000.0,40,40.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-09,목,12시,1,1,0.0,99000,0.0,99000.0,3,3.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-08,수,14시,1,1,0.0,391000,0.0,391000.0,80,80.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-08,수,00시,1,1,0.0,342000,0.0,342000.0,70,70.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-08,수,21시,1,1,1.0,32000,1.0,32000.0,1,1.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-08,수,09시,1,1,1.0,24500,1.0,24500.0,5,5.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-08,수,20시,1,1,1.0,23500,1.0,23500.0,5,5.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-07,화,16시,2,3,0.0,554000,0.0,184666.66666666666,93,31.0,6000,0,0,0,0,0,0.0,0,0.0
2024-05-07,화,17시,2,3,0.3333333333333333,241000,0.6099585062240664,80333.33333333333,32,10.666666666666666,6000,0,0,0,0,0,0.0,0,0.0
2024-05-07,화,00시,1,1,0.0,83700,0.0,83700.0,19,19.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-07,화,20시,2,3,1.0,50500,1.0,16833.333333333332,11,3.6666666666666665,6000,1000,1000,0,0,0,0.0,0,0.0
2024-05-07,화,19시,1,1,1.0,26900,1.0,26900.0,7,7.0,3000,0,0,0,1,26900,1.0,7,1.0
2024-05-06,월,11시,1,1,1.0,529000,1.0,529000.0,23,23.0,0,0,0,0,1,690000,1.3043478260869565,30,1.3043478260869565
2024-05-06,월,12시,1,1,1.0,527000,1.0,527000.0,110,110.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-06,월,16시,1,1,1.0,111000,1.0,111000.0,3,3.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-05,일,11시,1,1,1.0,690000,1.0,690000.0,30,30.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-05,일,16시,1,1,1.0,219500,1.0,219500.0,45,45.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-05,일,14시,1,1,1.0,146000,1.0,146000.0,30,30.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-05,일,17시,1,1,1.0,28000,1.0,28000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-04,토,08시,1,1,1.0,810000,1.0,810000.0,30,30.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-04,토,16시,1,1,1.0,293000,1.0,293000.0,60,60.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-04,토,23시,1,1,1.0,106000,1.0,106000.0,5,5.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-04,토,13시,1,2,1.0,75000,1.0,37500.0,8,4.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-03,금,00시,1,1,1.0,49000,1.0,49000.0,10,10.0,3000,0,0,0,0,0,0.0,0,0.0
2024-05-03,금,09시,1,1,1.0,22000,1.0,22000.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-03,금,18시,1,1,1.0,4900,1.0,4900.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-02,목,16시,1,1,0.0,500000,0.0,500000.0,130,130.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-05-02,목,11시,1,1,0.0,98000,0.0,98000.0,20,20.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-02,목,15시,1,1,1.0,65000,1.0,65000.0,3,3.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-01,수,13시,2,2,1.0,313000,1.0,156500.0,61,30.5,3000,1000,1000,0,0,0,0.0,0,0.0
2024-05-01,수,11시,1,1,1.0,294000,1.0,294000.0,60,60.0,0,0,0,0,0,0,0.0,0,0.0
2024-05-01,수,14시,1,1,1.0,97000,1.0,97000.0,20,20.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-30,화,10시,1,1,1.0,19600,1.0,19600.0,4,4.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-29,월,17시,1,1,1.0,949000,1.0,949000.0,200,200.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-29,월,15시,1,1,0.0,50000,0.0,50000.0,5,5.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-28,일,21시,1,1,1.0,268500,1.0,268500.0,55,55.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-27,토,11시,1,1,0.0,20000,0.0,20000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-26,금,10시,1,1,1.0,245000,1.0,245000.0,50,50.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-25,목,18시,1,1,1.0,48000,1.0,48000.0,10,10.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-24,수,12시,1,1,1.0,719000,1.0,719000.0,150,150.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-24,수,19시,1,1,1.0,195000,1.0,195000.0,40,40.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-24,수,18시,1,1,1.0,4900,1.0,4900.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-23,화,19시,1,1,1.0,575000,1.0,575000.0,120,120.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-23,화,10시,1,1,1.0,385000,1.0,385000.0,35,35.0,0,0,0,0,1,385000,1.0,35,1.0
2024-04-23,화,11시,1,1,1.0,385000,1.0,385000.0,35,35.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-23,화,12시,1,2,1.0,76000,1.0,38000.0,5,2.5,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-23,화,21시,1,1,1.0,20000,1.0,20000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-22,월,12시,1,1,1.0,575000,1.0,575000.0,120,120.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-22,월,20시,2,2,1.0,206000,1.0,103000.0,41,20.5,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-22,월,08시,1,1,1.0,87200,1.0,87200.0,18,18.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-22,월,19시,1,1,1.0,24500,1.0,24500.0,5,5.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-21,일,18시,1,1,1.0,126400,1.0,126400.0,26,26.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-21,일,13시,1,2,1.0,62000,1.0,31000.0,3,1.5,12000,0,0,0,1,21000,0.3387096774193548,1,0.3333333333333333
2024-04-21,일,16시,1,1,1.0,27000,1.0,27000.0,2,2.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-21,일,11시,1,1,1.0,20600,1.0,20600.0,4,4.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-20,토,14시,1,1,1.0,220500,1.0,220500.0,45,45.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-20,토,10시,1,1,0.0,21000,0.0,21000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-19,금,11시,1,1,1.0,97000,1.0,97000.0,20,20.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-19,금,17시,1,1,1.0,62700,1.0,62700.0,13,13.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-19,금,21시,1,1,1.0,32000,1.0,32000.0,1,1.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-19,금,00시,1,1,1.0,24500,1.0,24500.0,5,5.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-17,수,02시,2,2,1.0,528000,1.0,264000.0,110,55.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-17,수,13시,1,1,0.0,527000,0.0,527000.0,110,110.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-17,수,04시,1,1,1.0,372400,1.0,372400.0,76,76.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-17,수,20시,1,1,1.0,137200,1.0,137200.0,28,28.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-15,월,19시,1,1,0.0,767000,0.0,767000.0,160,160.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-14,일,19시,1,2,1.0,100400,1.0,50200.0,18,9.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-12,금,18시,1,2,1.0,566000,1.0,283000.0,51,25.5,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-12,금,10시,1,1,1.0,20000,1.0,20000.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-11,목,07시,1,1,1.0,415500,1.0,415500.0,85,85.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-11,목,12시,1,1,0.0,330000,0.0,330000.0,10,10.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-10,수,23시,1,1,1.0,270000,1.0,270000.0,50,50.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-10,수,09시,1,1,1.0,199900,1.0,199900.0,41,41.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-10,수,22시,1,1,1.0,149500,1.0,149500.0,35,35.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-10,수,16시,1,1,1.0,72500,1.0,72500.0,15,15.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-09,화,13시,1,1,1.0,719000,1.0,719000.0,150,150.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-08,월,22시,2,2,1.0,1495000,1.0,747500.0,230,115.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-08,월,21시,1,1,1.0,485000,1.0,485000.0,50,50.0,0,0,0,0,1,485000,1.0,50,1.0
2024-04-08,월,10시,1,1,0.0,94000,0.0,94000.0,2,2.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-08,월,14시,1,1,0.0,40000,0.0,40000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-08,월,15시,1,1,0.0,4900,0.0,4900.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-07,일,19시,1,1,1.0,28400,1.0,28400.0,6,6.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-07,일,17시,1,1,0.0,21000,0.0,21000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-06,토,18시,1,1,1.0,10400,1.0,10400.0,2,2.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-05,금,14시,2,2,0.5,9800,0.5,4900.0,2,1.0,0,0,0,0,0,0,0.0,0,0.0
2024-04-04,목,08시,1,2,1.0,733000,1.0,366500.0,150,75.0,0,2000,2000,0,1,342000,0.4665757162346521,70,0.4666666666666667
2024-04-04,목,00시,2,3,1.0,229700,1.0,76566.66666666667,73,24.333333333333332,6000,2000,2000,0,1,28400,0.12363952982150632,6,0.0821917808219178
2024-04-04,목,09시,1,1,1.0,38200,1.0,38200.0,8,8.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-04,목,11시,0,0,,0,,,0,,0,0,0,0,1,33300,,7,
2024-04-03,수,20시,1,1,1.0,46000,1.0,46000.0,1,1.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-04-03,수,22시,1,2,1.0,34000,1.0,17000.0,2,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-02,화,18시,1,2,1.0,111700,1.0,55850.0,23,11.5,6000,1000,1000,0,0,0,0.0,0,0.0
2024-04-02,화,13시,1,1,1.0,11000,1.0,11000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-01,월,14시,1,1,0.0,40000,0.0,40000.0,2,2.0,3000,0,0,0,0,0,0.0,0,0.0
2024-04-01,월,19시,1,1,1.0,32000,1.0,32000.0,1,1.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-04-01,월,09시,1,1,1.0,20000,1.0,20000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-03-31,일,16시,1,1,1.0,575000,1.0,575000.0,120,120.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-03-30,토,17시,1,1,0.0,479000,0.0,479000.0,100,100.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-03-30,토,19시,1,1,1.0,28400,1.0,28400.0,6,6.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-03-29,금,14시,1,1,1.0,391000,1.0,391000.0,80,80.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-03-29,금,12시,1,1,1.0,239000,1.0,239000.0,12,12.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-03-29,금,08시,2,2,1.0,40000,1.0,20000.0,2,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-03-28,목,21시,1,1,1.0,48000,1.0,48000.0,10,10.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-03-28,목,15시,1,1,0.0,43100,0.0,43100.0,9,9.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-03-28,목,16시,1,1,1.0,39200,1.0,39200.0,8,8.0,3000,0,0,0,0,0,0.0,0,0.0
2024-03-27,수,16시,1,1,0.0,44100,0.0,44100.0,9,9.0,3000,0,0,0,0,0,0.0,0,0.0
2024-03-25,월,13시,1,1,1.0,27000,1.0,27000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-03-24,일,14시,2,2,0.0,796500,0.0,398250.0,165,82.5,0,0,0,0,0,0,0.0,0,0.0
2024-03-22,금,00시,1,1,1.0,106800,1.0,106800.0,22,22.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-03-21,목,10시,1,1,1.0,195000,1.0,195000.0,40,40.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-03-21,목,08시,1,1,0.0,14700,0.0,14700.0,3,3.0,3000,0,0,0,0,0,0.0,0,0.0
