상품카테고리(대),상품카테고리(중),상품카테고리(소),상품카테고리(세),상품명,상품ID,결제수,결제상품수량,모바일비율(결제상품수량),결제금액,모바일비율(결제금액),상품수당 결제금액,쿠폰합계,상품쿠폰,주문쿠폰,환불건수,환불금액,환불비율(결제금액),환불수량,환불비율(결제상품수량)
식품,과자/베이커리,강정,-,고급 답례품 호두강정 1구 (170g),9127358556,13,44,0.9318181818181818,442000,0.9321266968325792,10045.454545454546,0,0,0,1,10000,0.02262443438914027,1,0.022727272727272728
식품,과자/베이커리,강정,-,호두강정 실속형 3팩 (120g x 3),9132135801,15,20,0.95,410000,0.9512195121951219,20500.0,0,0,0,1,20000,0.04878048780487805,1,0.05
출산/육아,출산/돌기념품,기타출산/돌기념품,-,후백 고급답례품 세트 호두강정 호두쿠키,8896571410,1,9,0.0,279000,0.0,31000.0,0,0,0,0,0,0.0,0,0.0
출산/육아,출산/돌기념품,기타출산/돌기념품,-,호두강정 실속형 3팩 (120g x 3),8813758154,10,11,0.8181818181818182,227000,0.8193832599118943,20636.363636363636,1000,1000,0,1,19000,0.08370044052863436,1,0.09090909090909091
식품,과자/베이커리,강정,-,호두쿠키 낱개포장 22g x 10개(220g),9018273658,10,16,0.875,224000,0.875,14000.0,0,0,0,2,42000,0.1875,3,0.1875
식품,과자/베이커리,강정,-,호두강정 실속형 3팩 120g x 3,9132135801,2,11,1.0,220000,1.0,20000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,고급답례 호두강정 소포장15gx4봉(60g),8959133473,2,50,1.0,215000,1.0,4300.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 고급 답례품 3구,9127113863,4,6,0.3333333333333333,192000,0.3333333333333333,32000.0,0,0,0,0,0,0.0,0,0.0
출산/육아,출산/돌기념품,기타출산/돌기념품,-,고급 답례품 호두강정 1구 170g,8763698413,7,18,0.8333333333333334,184000,0.8206521739130435,10222.222222222223,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,실속형 호두쿠키 낱개포장 22g x 10개(220g),9018273658,3,12,1.0,168000,1.0,14000.0,0,0,0,0,0,0.0,0,0.0
출산/육아,출산/돌기념품,기타출산/돌기념품,-,고급 답례품 호두강정 2구 170gx2,8763660567,5,7,0.5714285714285714,148000,0.5743243243243243,21142.85714285714,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 1구 (170g),9127358556,3,13,0.0,130000,0.0,10000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 실속형 3팩 120g x 3,9132135801,4,5,0.0,104000,0.0,20800.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,고급 답례 호두강정(낱개포장),8959133473,3,24,0.5833333333333334,94000,0.5212765957446809,3916.6666666666665,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,고급답례 호두강정 미니원통형(80g),8959294188,3,16,0.6875,86400,0.6875,5400.0,0,0,0,0,0,0.0,0,0.0
출산/육아,출산/돌기념품,기타출산/돌기념품,-,낱개포장형 고급답례품 (호두30%함유)호두쿠키12개+호두강정6개,8815921856,3,3,1.0,82200,1.0,27400.0,0,0,0,0,0,0.0,0,0.0
출산/육아,출산/돌기념품,기타출산/돌기념품,-,고급선물용 호두30%포함 호두쿠키&호두강정 모두다세트,8861501320,1,3,1.0,75000,1.0,25000.0,0,0,0,0,0,0.0,0,0.0
출산/육아,출산/돌기념품,기타출산/돌기념품,-,낱개포장형 고급답례품 호두쿠키 & 호두강정,8815921856,2,2,0.5,56000,0.5,28000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 1구 170g,9127358556,1,2,1.0,20000,1.0,10000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,쿠키,-,후백 고급 간식세트 호두강정 호두쿠키,8924923335,1,5,0.0,20000,0.0,4000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 80g 기분좋은 답례품,8959294188,1,4,0.0,19600,0.0,4900.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 HU100 호두강정 정과 답례품 80g 결혼 돌잔치 장례 단체행사,8959294188,155,6419,0.811808692942826,31041300,0.8159613160531293,4835.846705094252,88000,88000,0,10,2109800,0.06796751424714816,393,0.061224489795918366
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 답례품 80g 결혼 돌잔치 장례 단체행사,8959294188,42,2513,0.9633903700756068,12261700,0.9631943368374695,4879.307600477517,18000,18000,0,2,411600,0.033567939192770985,84,0.033426183844011144
식품,과자/베이커리,강정,-,후백 호두강정 정과 답례품 80g 결혼 돌잔치 장례 행사,8959294188,42,1548,0.8417312661498708,7315500,0.8405440503041487,4725.775193798449,19000,19000,0,5,556600,0.07608502494703027,114,0.07364341085271318
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 1구 170g,9127358556,24,611,0.900163666121113,5722600,0.9209100758396533,9365.95744680851,10000,10000,0,2,694000,0.12127354698913081,71,0.11620294599018004
식품,과자/베이커리,강정,-,후백 호두강정 80g 결혼 돌잔치 장례 행사 답례품,8959294188,24,967,0.9741468459152016,4679800,0.9740373520235908,4839.503619441572,6000,6000,0,2,147000,0.03141159878627292,30,0.031023784901758014
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 답례품 결혼 장례 조문 돌잔치 단체행사 80g,8959294188,19,780,0.6089743589743589,3813000,0.6083136637817991,4888.461538461538,10000,10000,0,2,346900,0.09097823236296879,71,0.09102564102564102
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 답례품 2구,9127230119,18,129,0.9844961240310077,3083000,0.9860525462212131,23899.22480620155,8000,8000,0,1,690000,0.22380797924099902,30,0.23255813953488372
식품,과자/베이커리,강정,-,후백 호두강정 정과 답례품 80g 결혼 돌잔치 장례 단체행사,8959294188,9,451,0.8625277161862528,2119500,0.8776126444916253,4699.556541019956,6000,6000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 답례품 2구,9127230119,19,84,0.30952380952380953,1965000,0.31297709923664124,23392.85714285714,4000,4000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 고급 답례품 3구,9127113863,25,40,0.625,1324000,0.6306646525679759,33100.0,9000,9000,0,1,32000,0.02416918429003021,1,0.025
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 답례품 결혼 장례 조문 돌잔치 단체행사 170g,9127358556,5,152,1.0,1248000,1.0,8210.526315789473,2000,2000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 답례품 3구,9127113863,14,35,0.5428571428571428,1171000,0.5491033304867634,33457.142857142855,8000,8000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 HU100 호두강정 호두정과 실속형 3팩 120g x 3,9132135801,32,57,0.8245614035087719,1150000,0.8243478260869566,20175.43859649123,3000,3000,0,1,21000,0.018260869565217393,1,0.017543859649122806
식품,과자/베이커리,강정,-,"후백 HU100 호두강정 호두정과 4구 이바지, 상견례 고급선물",9818786138,13,15,0.2,711000,0.19549929676511954,47400.0,2000,2000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 정과 답례품 결혼 돌잔치 장례 행사 80g,8959294188,4,144,1.0,620600,1.0,4309.722222222223,1000,1000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 실속형 3팩 120g x 3,9132135801,14,24,0.9583333333333334,488000,0.9569672131147541,20333.333333333332,2000,2000,0,1,60000,0.12295081967213115,3,0.125
식품,과자/베이커리,강정,-,후백 호두강정 고급 답례품 4구 선물세트,9818786138,5,10,0.9,479000,0.8977035490605428,47900.0,3000,3000,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 1구 170g,9127358556,12,40,0.75,398000,0.7512562814070352,9950.0,3000,3000,0,1,20000,0.05025125628140704,2,0.05
식품,과자/베이커리,강정,-,후백 HU100 호두강정 낱개포장 12개,8924771794,13,24,0.7083333333333334,331000,0.7069486404833837,13791.666666666666,5000,5000,0,1,14000,0.04229607250755287,1,0.041666666666666664
식품,과자/베이커리,강정,-,후백 호두강정 호두정과 답례품 2구,9127230119,2,7,0.42857142857142855,170000,0.4588235294117647,24285.714285714286,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 호두정과 답례품 4구,9818786138,2,2,1.0,96000,1.0,48000.0,0,0,0,1,45000,0.46875,1,0.5
식품,과자/베이커리,강정,-,후백 HU100 호두강정 답례품 낱개포장(3봉),10074124551,14,22,0.9090909090909091,76000,0.9078947368421053,3454.5454545454545,1000,1000,0,1,3500,0.046052631578947366,1,0.045454545454545456
식품,과자/베이커리,강정,-,후백 호두강정 낱개포장 12개,8924771794,5,5,0.4,70000,0.4,14000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 호두정과 답례품 3구,9127113863,2,2,1.0,69000,1.0,34500.0,1000,1000,0,0,0,0.0,0,0.0
식품,과자/베이커리,쿠키,-,후백 HU100 호두쿠키 낱개포장 10개,9018273658,1,2,1.0,28000,1.0,14000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,후백 호두강정 호두정과 1구 170g,9127358556,1,1,1.0,10000,1.0,10000.0,0,0,0,0,0,0.0,0,0.0
